;Nome;Saldo0;Referencias;Data0;Excedente1;Data2;Excedente3;Data4;Excedente5;Data6;Excedente7;Data8;Excedente9;Data10;Excedente11
197;LM KORONIS WHITE MC 60X120 R;;FZO0154011 ; 31/08/2022 ; 3095,60 M2; 30/06/2022 ; 1497,39 M2; 17/05/2022 ; 45,44 M2;;;;;;
198;LM KORONIS EXT WH MC 120X120 R;;FZO01E8011 ; 30/11/2022 ; 1496,25 M2; 31/08/2022 ; 1895,25 M2; 31/07/2022 ; 9728,48 M2;;;;;;
199;LM KORONIS WHITE MT 120X250R;"Armazem
158,47";FZO01HM011 ;;;;;;;;;;;;
200;Não encontrado;;FZO01ZF011 ;;;;;;;;;;;;
201;LM KORONIS WHITE MT 60X120 R;"Armazem
187,44";FZO0254011 ; 31/08/2022 ; 1497,39 M2; 30/06/2022 ; 1497,39 M2;;;;;;;;
202;LM KORONIS EXT WH MT 120X120 R;"Armazem
2,85";FZO02E8011 ; 30/11/2022 ; 1995,00 M2; 30/06/2022 ; 1995,00 M2; 30/05/2022 ; 1995,00 M2;;;;;;
203;Não encontrado;;FZO02HM011 ;;;;;;;;;;;;
204;PP MADERO CANARY 20X120 R;"Armazem
154,28";OP01HA251 ; 22/06/2022 ; 1982,21 M2; 10/05/2022 ; 269,58 M2;;;;;;;;
205;PP MADERO AMBAR ABS 20X120 R;"Armazem
281,88";OP02HA251 ; 22/06/2022 ; 2054,13 M2;;;;;;;;;;
206;RV ART SOUL 15,4 X 15,4;"Armazem
189";YN012ZMC1 ;;;;;;;;;;;;
207;RV ART TWEED 15,4 X15,4;"Armazem
2502";YN022ZMC1 ;;;;;;;;;;;;
